fecha,equipo_local,resultado,equipo_visita
19-12-2023,Elche,0 - 0,Mirandes
13-01-2024,Alcorcon,0 - 0,Mirandes
21-01-2024,Mirandes,1 - 1,Levante
26-01-2024,Eibar,1 - 0,Mirandes
03-02-2024,Mirandes,3 - 0,Villarreal II
11-02-2024,Cartagena,1 - 0,Mirandes
17-02-2024,Espanol,3 - 0,Mirandes
26-02-2024,Mirandes,0 - 3,Huesca
03-03-2024,Tenerife,2 - 1,Mirandes
09-03-2024,Mirandes,3 - 1,Eldense
17-03-2024,Leganes,4 - 0,Mirandes
24-03-2024,Mirandes,0 - 0,Zaragoza
30-03-2024,FC Andorra,1 - 0,Mirandes
07-04-2024,Mirandes,? - ?,Sp Gijon
14-08-2023,Tenerife,1 - 0,Oviedo
20-08-2023,Oviedo,1 - 1,Racing Ferrol
26-08-2023,Burgos,1 - 0,Oviedo
02-09-2023,Levante,1 - 1,Oviedo
09-09-2023,Oviedo,0 - 0,Sp Gijon
18-09-2023,FC Andorra,1 - 0,Oviedo
24-09-2023,Oviedo,0 - 1,Valladolid
01-10-2023,Eldense,1 - 3,Oviedo
04-10-2023,Oviedo,1 - 0,Huesca
07-10-2023,Leganes,0 - 0,Oviedo
13-10-2023,Oviedo,3 - 0,Albacete
21-10-2023,Amorebieta,0 - 0,Oviedo
29-10-2023,Oviedo,2 - 0,Alcorcon
06-11-2023,Zaragoza,0 - 0,Oviedo
13-11-2023,Oviedo,1 - 1,Cartagena
19-11-2023,Oviedo,2 - 1,Eibar
26-11-2023,Mirandes,2 - 1,Oviedo
01-12-2023,Oviedo,2 - 0,Espanol
10-12-2023,Santander,2 - 2,Oviedo
15-12-2023,Oviedo,3 - 2,Elche
21-12-2023,Villarreal II,1 - 1,Oviedo
13-01-2024,Oviedo,1 - 1,Amorebieta
20-01-2024,Racing Ferrol,1 - 3,Oviedo
27-01-2024,Oviedo,1 - 0,Leganes
04-02-2024,Oviedo,1 - 1,Eldense
10-02-2024,Sp Gijon,1 - 0,Oviedo
17-02-2024,Oviedo,5 - 0,Burgos
23-02-2024,Valladolid,3 - 0,Oviedo
02-03-2024,Oviedo,3 - 2,Levante
09-03-2024,Albacete,1 - 2,Oviedo
16-03-2024,Oviedo,1 - 1,Santander
23-03-2024,Alcorcon,1 - 0,Oviedo
31-03-2024,Oviedo,2 - 1,Villarreal II
05-04-2024,Elche,? - ?,Oviedo
12-08-2023,Elche,0 - 1,Racing Ferrol
20-08-2023,Oviedo,1 - 1,Racing Ferrol
27-08-2023,Racing Ferrol,2 - 0,Sp Gijon
01-09-2023,Alcorcon,1 - 1,Racing Ferrol
10-09-2023,Racing Ferrol,2 - 2,Villarreal II
17-09-2023,Eibar,2 - 0,Racing Ferrol
25-09-2023,Racing Ferrol,1 - 0,Zaragoza
02-10-2023,Espanol,3 - 0,Racing Ferrol
05-10-2023,Racing Ferrol,1 - 0,Amorebieta
08-10-2023,Racing Ferrol,1 - 1,Cartagena
16-10-2023,Levante,1 - 0,Racing Ferrol
22-10-2023,Racing Ferrol,1 - 1,Eldense
29-10-2023,Santander,1 - 3,Racing Ferrol
05-11-2023,Racing Ferrol,1 - 0,FC Andorra
11-11-2023,Mirandes,1 - 2,Racing Ferrol
19-11-2023,Racing Ferrol,1 - 1,Burgos
26-11-2023,Leganes,2 - 2,Racing Ferrol
03-12-2023,Racing Ferrol,5 - 4,Albacete
10-12-2023,Huesca,1 - 0,Racing Ferrol
17-12-2023,Racing Ferrol,3 - 1,Tenerife
21-12-2023,Valladolid,0 - 1,Racing Ferrol
13-01-2024,Racing Ferrol,0 - 0,Espanol
20-01-2024,Racing Ferrol,1 - 3,Oviedo
28-01-2024,Sp Gijon,1 - 2,Racing Ferrol
04-02-2024,Racing Ferrol,1 - 1,Eibar
11-02-2024,Burgos,2 - 0,Racing Ferrol
18-02-2024,Racing Ferrol,0 - 0,Levante
25-02-2024,Eldense,2 - 0,Racing Ferrol
02-03-2024,Racing Ferrol,2 - 2,Santander
09-03-2024,Cartagena,2 - 1,Racing Ferrol
17-03-2024,Racing Ferrol,2 - 0,Valladolid
25-03-2024,Albacete,1 - 1,Racing Ferrol
31-03-2024,Racing Ferrol,1 - 0,Elche
05-04-2024,Amorebieta,? - ?,Racing Ferrol
12-08-2023,Santander,4 - 0,Eibar
19-08-2023,Espanol,2 - 0,Santander
28-08-2023,Santander,0 - 0,Huesca
02-09-2023,Elche,1 - 1,Santander
10-09-2023,Santander,1 - 0,Amorebieta
15-09-2023,Zaragoza,1 - 1,Santander
23-09-2023,Santander,2 - 1,Albacete
29-09-2023,Leganes,2 - 1,Santander
03-10-2023,Tenerife,2 - 0,Santander
07-10-2023,Santander,3 - 2,Sp Gijon
14-10-2023,Cartagena,2 - 3,Santander
22-10-2023,Santander,3 - 0,Burgos
29-10-2023,Santander,1 - 3,Racing Ferrol
05-11-2023,Alcorcon,3 - 1,Santander
11-11-2023,Santander,2 - 3,Valladolid
20-11-2023,Levante,2 - 4,Santander
25-11-2023,Santander,2 - 0,Villarreal II
03-12-2023,Mirandes,0 - 0,Santander
10-12-2023,Santander,2 - 2,Oviedo
16-12-2023,Eldense,3 - 3,Santander
19-12-2023,Santander,2 - 0,FC Andorra
12-01-2024,Eibar,2 - 0,Santander
21-01-2024,Santander,0 - 2,Cartagena
29-01-2024,Valladolid,3 - 1,Santander
