titulo,autor,duracion
Lies I Taught in Medical School,De: Robert Lufkin MD,Duración: 7 h
Lazarus: Enmity's Edge,De: Gary Kloster,Duración: 11 h y 47 m
Cerberus MC Box Set 8,De: Marie James,Duración: 20 h y 32 m
Toxic Prey,De: John Sandford,Duración: 11 h y 19 m
Dr. Prepper,De: Margaret Lashley,Duración: 7 h y 4 m
Tempting Promises,De: Corinne Michaels,Duración: 9 h y 32 m
The Dream Dancers: Akashic Chronicles,De: Steven P Aitchison,Duración: 2 h y 56 m
Behind the Gates 2,De: Bobby Akart,Duración: 6 h y 17 m
Domestication (Dramatized Adaptation),De: Seth Ring,Duración: 10 h y 25 m
Lucky Son of a Gun,De: John Conroe,Duración: 8 h y 11 m
Dungeon Desolation (Dramatized Adaptation),De: Dakota Krout,Duración: 8 h y 6 m
Love Life,De: Matthew Hussey,Duración: 11 h
Expiration Dates,De: Rebecca Serle,Duración: 6 h y 54 m
Death's End,"De: Cixin Liu, Ken Liu - translator",Duración: 28 h y 51 m
A Bloom in Winter,De: J.R. Ward,Duración: 15 h y 30 m
Multiple Love 2: Books 4-6,De: Stephanie Brother,Duración: 23 h y 49 m
Crown,De: Nicoli Gonnella,Duración: 22 h y 6 m
Zoey and Sassafras: Wishypoofs and Hiccups,De: Asia Citro,Duración: 1 h y 6 m
Endfall,De: David Estes,Duración: 46 h y 19 m
Kingdom of Ash,De: Sarah J. Maas,Duración: 33 h y 11 m
Da Big Dakka,De: Mike Brooks,Duración: 9 h y 25 m
Slow John,De: C.J. Petit,Duración: 11 h y 15 m
Gilded Wings,De: Jaymin Eve,Duración: 10 h y 13 m
House of Sky and Breath,De: Sarah J. Maas,Duración: 27 h y 42 m
Morning Star,De: Pierce Brown,Duración: 21 h y 50 m
The David Wolf Mystery Thriller Series: Books 1-4,De: Jeff Carson,Duración: 28 h y 16 m
Love Life,De: Matthew Hussey,Duración: 11 h
A World Made New: A Channeled Text,De: Paul Selig,Duración: 9 h y 15 m
Play Nice,De: Jason Schreier,Duración: 9 h
The Almost Romantic,De: Lauren Blakely,Duración: 8 h y 7 m
Dietrich,De: Don Winslow,Duración: 1 h y 11 m
Funny Story,De: Emily Henry,Duración: 11 h y 23 m
Power Moves,De: Sarah Jakes Roberts,Duración: 7 h y 31 m
The Beloved,De: J.R. Ward,Duración: 13 h y 4 m
Mother Faker,De: Brittanee Nicole,Duración: 10 h y 13 m
The Well of Ascension,De: Brandon Sanderson,Duración: 28 h y 56 m
Gilded Wings,De: Jaymin Eve,Duración: 10 h y 13 m
"Shōgun, Part One",De: James Clavell,Duración: 24 h y 18 m
Words of Radiance,De: Brandon Sanderson,Duración: 48 h y 13 m
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),De: Rebecca Yarros,Duración: 9 h y 22 m
A Clash of Kings,De: George R.R. Martin,Duración: 37 h y 12 m
Pursued by Peril,De: Lindsay Buroker,Duración: 9 h y 20 m
Star Wars: Temptation of the Force (The High Republic),De: Tessa Gratton,Duración: 12 h
Take Me I'm Yours,De: Lili Valente,Duración: 9 h y 4 m
"Grace, Period.",De: Robert Morris,Duración: 6 h y 27 m
The Surrogate,De: Penelope Ward,Duración: 9 h y 52 m
Fairy Tale,De: Stephen King,Duración: 24 h y 6 m
Eruption,"De: Michael Crichton, James Patterson",Duración: 10 h y 15 m
A Court of Frost and Starlight,De: Sarah J. Maas,Duración: 6 h y 23 m
Sociopath,De: Patric Gagne Ph.D.,Duración: 11 h y 7 m
The #1 Lawyer,"De: James Patterson, Nancy Allen",Duración: 13 h
The Dungeon Titan,De: Konrad Ryan,Duración: 23 h y 27 m
Slayers: A Buffyverse Story,"De: Christopher Golden, Amber Benson",Duración: 8 h y 2 m
The Hero of Ages,De: Brandon Sanderson,Duración: 27 h y 25 m
The Bastard and the Heir,"De: Eden Finley, Saxon James",Duración: 9 h y 25 m
Undead Urges,De: Amanda M. Lee,Duración: 8 h y 56 m
Solo Command: Star Wars Legends (X-Wing),De: Aaron Allston,Duración: 14 h
Ashborn Primordial,De: Vowron Prime,Duración: 24 h y 7 m
The Dungeon Anarchist's Cookbook,De: Matt Dinniman,Duración: 16 h y 54 m
Rail-Laid Plans,De: Daniel Schinhofen,Duración: 11 h y 15 m
A Storm of Swords,De: George R.R. Martin,Duración: 47 h y 34 m
A Court of Silver Flames,De: Sarah J. Maas,Duración: 26 h y 5 m
House of Earth and Blood,De: Sarah J. Maas,Duración: 27 h y 50 m
Before It's Gone,De: Jonathan Vigliotti,Duración: 9 h y 12 m
Oathbringer,De: Brandon Sanderson,Duración: 55 h y 5 m
Puerto Rico,De: Jorell Meléndez-Badillo,Duración: 10 h y 27 m
Reaping Fate,De: Actus,Duración: 15 h y 58 m
Aprender Inglés Nivel Intermedio y Avanzado [Learn English Intermediate and Advanced Level],De: Tango Languages Publishing,Duración: 20 h y 13 m
If You Hate Me,De: Helena Hunting,Duración: 13 h y 14 m
